Manufacturer,Name,Codename,Socket,Process,L3 Cache,power(W),Released,cpu/gpu
Intel,Core 3 100U,Raptor Lake-U,BGA 1744,10 nm,10 MB,15 W,"Jan 8th, 2024",CPU
Intel,Core 3 100UL,Raptor Lake-U,BGA 1744,10 nm,10 MB,15 W,Unknown,CPU
Intel,Core 5 120U,Raptor Lake-U,BGA 1744,10 nm,12 MB,15 W,"Jan 8th, 2024",CPU
Intel,Core 5 120UL,Raptor Lake-U,BGA 1744,10 nm,12 MB,15 W,Unknown,CPU
Intel,Core 5 130UL,Raptor Lake-U,BGA 1744,10 nm,12 MB,15 W,Unknown,CPU
Intel,Core 5 220U,Raptor Lake-U,BGA 1744,10 nm,12 MB,15 W,Unknown,CPU
Intel,Core 7 150U,Raptor Lake-U,BGA 1744,10 nm,12 MB,15 W,"Jan 8th, 2024",CPU
Intel,Core 7 150UL,Raptor Lake-U,BGA 1744,10 nm,12 MB,15 W,Unknown,CPU
Intel,Core 7 160UL,Raptor Lake-U,BGA 1744,10 nm,12 MB,15 W,Unknown,CPU
Intel,Core 7 250U,Raptor Lake-U,BGA 1744,10 nm,12 MB,15 W,Unknown,CPU
Intel,Core Ultra 5 125H,Meteor Lake,BGA 2049,7 nm,18 MB,28 W,"Dec 14th, 2023",CPU
Intel,Core Ultra 5 135H,Meteor Lake,BGA 2049,7 nm,18 MB,28 W,"Dec 14th, 2023",CPU
Intel,Core Ultra 7 155H,Meteor Lake,BGA 2049,7 nm,24 MB,28 W,"Dec 14th, 2023",CPU
Intel,Core Ultra 7 165H,Meteor Lake,BGA 2049,7 nm,24 MB,28 W,"Dec 14th, 2023",CPU
Intel,Core Ultra 9 185H,Meteor Lake,BGA 2049,7 nm,24 MB,45 W,"Dec 14th, 2023",CPU
Intel,Core i3-14100,Raptor Lake-R,Socket 1700,10 nm,12 MB,60 W,"Jan 8th, 2024",CPU
Intel,Core i3-14100F,Raptor Lake-R,Socket 1700,10 nm,12 MB,58 W,"Jan 8th, 2024",CPU
Intel,Core i3-14100T,Raptor Lake-R,Socket 1700,10 nm,12 MB,35 W,"Jan 8th, 2024",CPU
