manufacturer,Name,power(W),cpu/gpu
NVDIA,GeForce RTX 4090 D,425,gpu
NVDIA,GeForce RTX 4090,425,gpu
NVDIA,GeForce RTX 4080 SUPER,320,gpu
NVDIA,GeForce RTX 4080,320,gpu
NVDIA,GeForce RTX 4070 Ti SUPER,285,gpu
NVDIA,GeForce RTX 4070 Ti,285,gpu
NVDIA,GeForce RTX 4070 SUPER,220,gpu
NVDIA,GeForce RTX 4070,200,gpu
NVDIA,GeForce RTX 4060 Ti,165,gpu
NVDIA,GeForce RTX 4060,115,gpu
NVDIA,GeForce RTX 3090 Ti,450,gpu
NVDIA,GeForce RTX 3090,350,gpu
NVDIA,GeForce RTX 3080 Ti,350,gpu
NVDIA,GeForce RTX 3080,350,gpu
NVDIA,GeForce RTX 3070 Ti,290,gpu
NVDIA,GeForce RTX 3070 Ti,220,gpu
NVDIA,GeForce RTX 3060 Ti,200,gpu
NVDIA,GeForce RTX 3060,170,gpu
NVDIA,GeForce RTX 3050£¨8GB£©,130,gpu
NVDIA,GeForce RTX 3070£¨6GB£©,70,gpu
NVDIA,GeForce RTX 2080 Ti,260,gpu
NVDIA,GeForce RTX 2080 SUPER,250,gpu
NVDIA,GeForce RTX 2080,225,gpu
NVDIA,GeForce RTX 2070 SUPER,215,gpu
NVDIA,GeForce RTX 2070,185,gpu
NVDIA,GeForce RTX 2060 SUPER,175,gpu
NVDIA,GeForce RTX 2060,185,gpu
NVDIA,A40,300,gpu
NVDIA,A30,165,gpu
NVDIA,A100 80GB PCle,300,gpu
NVDIA,A100 80GB SXM,400,gpu
NVDIA,A800 40GB PCle,250,gpu
NVDIA,A800 80GB PCle,300,gpu
NVDIA,A800 80GB SXM,400,gpu
NVDIA,A4000,140,gpu
NVDIA,V100 PCle,250,gpu
NVDIA,V100 SXM2,300,gpu
NVDIA,V100S PCle,250,gpu
NVDIA,H100 SXM,700,gpu
NVDIA,H100 PCle,300,gpu
NVDIA,H100 NVL,700,gpu
